Broodstock ID,ARC Hub Tube Label,ARC determined genotype,GAVcopies/ng,GAV copies/ug,lgGAV
235,G1T1701_BR040,G1T1701_BR_107_MP,88.56,88563.62,4.95
236,G1T1701_BR400,G1T1701_BR_378_MP,91.82,91816.24,4.96
237,G1T1701_BR222,G1T1701_BR_205_MP,93.72,93719.18,4.97
238,G1T1701_BR121,G1T1701_BR_110_MP,94.00,93995.54,4.97
239,G1T1701_BR327,G1T1701_BR_310_MP,99.78,99777.55,5.00
240,G1T1701_BR008,G1T1701_BR_008_P,100.03,100027.14,5.00
241,G1T1701_BR218,G1T1701_BR_201_M,101.32,101324.23,5.01
242,G1T1701_BR185,G1T1701_BR_168_MP,103.36,103362.36,5.01
243,G1T1701_BR165,G1T1701_BR_145_M,105.78,105780.61,5.02
244,G1T1701_BR205,G1T1701_BR_187_MP,108.95,108951.31,5.04
245,G1T1701_BR427,G1T1701_BR_405_MP,109.42,109417.91,5.04
246,G1T1701_BR320,not in dart analysis,110.36,110356.74,5.04
247,G1T1701_BR336,not in dart analysis,115.68,115679.09,5.06
248,G1T1701_BR364,G1T1701_BR_343_MP,115.99,115988.89,5.06
249,G1T1701_BR480,G1T1701_BR_456_MP,116.16,116160.43,5.07
250,G1T1701_BR453,G1T1701_BR_429_MP,116.44,116440.86,5.07
251,G1T1701_BR147,G1T1701_BR_128_MP,116.68,116678.24,5.07
252,G1T1701_BR316,G1T1701_BR_299_MP,121.03,121034.90,5.08
253,G1T1701_BR270,G1T1701_BR_253_MP,127.99,127993.75,5.11
254,G1T1701_BR226,G1T1701_BR_209_MP,131.90,131899.44,5.12
255,G1T1701_BR441,G1T1701_BR_418_MP,131.93,131930.14,5.12
256,G1T1701_BR067,G1T1701_BR_052_P,132.41,132408.70,5.12
257,G1T1701_BR202,G1T1701_BR_195_MP,133.82,133818.39,5.13
258,G1T1701_BR342,G1T1701_BR_325_MP,137.60,137603.38,5.14
259,G1T1701_BR195,G1T1701_BR_178_M,138.76,138759.73,5.14
260,G1T1701_BR211,G1T1701_BR_193_MP,140.78,140779.69,5.15
261,G1T1701_BR319,G1T1701_BR_302_MP,140.96,140964.35,5.15
262,G1T1701_BR406,G1T1701_BR_384_MP,141.63,141632.99,5.15
263,G1T1701_BR068,G1T1701_BR_048_P,144.51,144512.59,5.16
264,G1T1701_BR134,G1T1701_BR_069_GP,146.45,146445.96,5.17
265,G1T1701_BR318,G1T1701_BR_301_MP,146.45,146449.91,5.17
266,G1T1701_BR172,G1T1701_BR_152_MP,146.71,146714.20,5.17
267,G1T1701_BR462,G1T1701_BR_438_MP,147.68,147677.66,5.17
268,G1T1701_BR151,G1T1701_BR_132_M,149.69,149692.04,5.18
269,G1T1701_BR377,G1T1701_BR_356_MP,150.26,150261.84,5.18
270,G1T1701_BR123,G1T1701_BR_112_MP,150.82,150822.39,5.18
271,G1T1701_BR326,G1T1701_BR_309_MP,151.75,151751.87,5.18
272,G1T1701_BR239,G1T1701_BR_222_M,153.51,153506.29,5.19
273,G1T1701_BR041,G1T1701_BR_072_MP,160.71,160712.11,5.21
274,G1T1701_BR283,G1T1701_BR_266_MP,162.73,162726.00,5.21
275,G1T1701_BR335,G1T1701_BR_318_MP,170.98,170976.47,5.23
276,G1T1701BR_478,not in dart analysis,171.56,171557.86,5.23
277,G1T1701_BR032,G1T1701_BR_028_P,172.68,172678.86,5.24
278,G1T1701_BR315,not in dart analysis,176.04,176043.54,5.25
279,G1T1701_BR224,not in dart analysis,182.24,182238.85,5.26
280,G1T1701_BR323,G1T1701_BR_306_GMP,187.64,187636.21,5.27
281,G1T1701_BR310,G1T1701_BR_293_MP,189.81,189812.91,5.28
282,G1T1701_BR346,G1T1701_BR_329_GMP,196.44,196438.92,5.29
283,G1T1701_BR398,G1T1701_BR_376_MP,206.77,206769.45,5.32
284,G1T1701_BR468,G1T1701_BR_444_MP,208.11,208114.95,5.32
285,G1T1701_BR119,G1T1701_BR_067_GP,210.47,210466.95,5.32
286,G1T1701_BR235,G1T1701_BR_218_MP,214.35,214348.88,5.33
287,G1T1701_BR117,G1T1701_BR_103_MP,220.13,220132.13,5.34
288,G1T1701_BR389,not in dart analysis,223.22,223220.76,5.35
289,G1T1701_BR463,G1T1701_BR_439_MP,232.11,232106.28,5.37
290,G1T1701_BR260,G1T1701_BR_160_MP,236.03,236025.97,5.37
291,G1T1701_BR428,G1T1701_BR_406_MP,246.65,246646.00,5.39
