Cohort,FamilyID,ID,class,logGAV
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_139_MP__G1T1701_BR_042_P,G1T1701_BR_042_P,Mother,4.074069041
201604,G1T1701_BR_139_MP__G1T1701_BR_042_P,G1T1701_BR_042_P,Mother,4.074069041
201604,G1T1701_BR_139_MP__G1T1701_BR_042_P,G1T1701_BR_042_P,Mother,4.074069041
201604,G1T1701_BR_139_MP__G1T1701_BR_042_P,G1T1701_BR_042_P,Mother,4.074069041
201604,G1T1701_BR_139_MP__G1T1701_BR_042_P,G1T1701_BR_042_P,Mother,4.074069041
201604,G1T1701_BR_139_MP__G1T1701_BR_042_P,G1T1701_BR_042_P,Mother,4.074069041
201604,G1T1701_BR_139_MP__G1T1701_BR_042_P,G1T1701_BR_042_P,Mother,4.074069041
201604,G1T1701_BR_139_MP__G1T1701_BR_042_P,G1T1701_BR_042_P,Mother,4.074069041
201604,G1T1701_BR_139_MP__G1T1701_BR_042_P,G1T1701_BR_042_P,Mother,4.074069041
201604,G1T1701_BR_139_MP__G1T1701_BR_042_P,G1T1701_BR_042_P,Mother,4.074069041
201604,G1T1701_BR_139_MP__G1T1701_BR_042_P,G1T1701_BR_042_P,Mother,4.074069041
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_BR_001_P,Mother,3.646040919
201604,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_BR_001_P,Mother,3.646040919
201604,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_BR_001_P,Mother,3.646040919
201604,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_BR_006_P,Mother,3.474238142
201604,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_BR_006_P,Mother,3.474238142
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_139_MP__G1T1701_BR_042_P,G1T1701_BR_042_P,Mother,4.074069041
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_BR_006_P,Mother,3.474238142
201604,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_BR_006_P,Mother,3.474238142
201604,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_BR_006_P,Mother,3.474238142
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_131_M__G1T1701_BR_262_MP,G1T1701_BR_262_MP,Mother,6.0305894
201604,G1T1701_BR_139_MP__G1T1701_BR_042_P,G1T1701_BR_042_P,Mother,4.074069041
201604,G1T1701_BR_139_MP__G1T1701_BR_042_P,G1T1701_BR_042_P,Mother,4.074069041
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,G1T1701_BR_360_MP__G1T1701_BR_318_MP,G1T1701_BR_318_MP,Mother,5.23293634
201604,B1_004,201604BR020,Mother,3.51
201604,B1_004,201604BR020,Mother,3.51
201604,B1_026,201604BR412,Mother,3.75
201604,B1_026,201604BR412,Mother,3.75
201604,B1_026,201604BR412,Mother,3.75
201604,B1_026,201604BR412,Mother,3.75
201604,B1_026,201604BR412,Mother,3.75
201604,B1_026,201604BR412,Mother,3.75
201604,B1_033,201604BR456,Mother,0
201604,B1_033,201604BR456,Mother,0
201604,B1_033,201604BR456,Mother,0
201604,B1_033,201604BR456,Mother,0
201604,B1_033,201604BR456,Mother,0
201604,B1_033,201604BR456,Mother,0
201604,B1_033,201604BR456,Mother,0
201604,B1_033,201604BR456,Mother,0
201604,B1_033,201604BR456,Mother,0
201604,B1_033,201604BR456,Mother,0
201604,B1_033,201604BR456,Mother,0
201604,B1_036,201604BR479,Mother,3.47
201604,B1_036,201604BR479,Mother,3.47
201604,B1_036,201604BR479,Mother,3.47
201604,B1_004,201604BR020,Mother,3.51
201604,B1_004,201604BR020,Mother,3.51
201604,B1_004,201604BR020,Mother,3.51
201604,B1_004,201604BR020,Mother,3.51
201604,B1_004,201604BR020,Mother,3.51
201604,B1_004,201604BR020,Mother,3.51
201604,B1_015,201604BR072,Mother,3.42
201604,B1_015,201604BR072,Mother,3.42
201604,B1_015,201604BR072,Mother,3.42
201604,B1_015,201604BR072,Mother,3.42
201604,B1_015,201604BR072,Mother,3.42
201604,B1_015,201604BR072,Mother,3.42
201604,B1_026,201604BR412,Mother,3.75
201604,B1_026,201604BR412,Mother,3.75
201604,B1_033,201604BR456,Mother,0
201604,B1_033,201604BR456,Mother,0
201604,B1_033,201604BR456,Mother,0
201604,B1_033,201604BR456,Mother,0
201604,B1_033,201604BR456,Mother,0
201604,B1_036,201604BR479,Mother,3.47
201604,B1_036,201604BR479,Mother,3.47
201701,B2_014,201604_135_001_A1_G,Offspring,3.66
201701,B2_014,201604_135_001_A2_G,Offspring,3.47
201701,B2_014,201604_135_001_B10_G,Offspring,1.00E-05
201701,B2_014,201604_135_001_B11_G,Offspring,3.48
201701,B2_014,201604_135_001_B5_G,Offspring,1.00E-05
201701,B2_014,201604_135_001_C10_G,Offspring,2.84
201701,B2_014,201604_135_001_C4_G,Offspring,1.00E-05
201701,B2_014,201604_135_001_E4_G,Offspring,1.00E-05
201701,B2_014,201604_135_001_E6_G,Offspring,5.87
201701,B2_014,201604_135_001_E9_G,Offspring,1.00E-05
201701,B2_014,201604_135_001_F3_G,Offspring,2.75
201701,B2_014,201604_135_001_G7_G,Offspring,4.85
201701,B2_014,201604_135_001_G9_G,Offspring,1.00E-05
201701,B2_015,201604_135_001_F11_G,Offspring,3.07
201701,B2_015,201604_135_001_F6_G,Offspring,3.93
201701,B2_015,201604_135_001_H4_G,Offspring,1.00E-05
201701,B2_016,201604_135_001_A6_G,Offspring,3.02
201701,B2_016,201604_135_001_C5_G,Offspring,1.00E-05
201701,B2_017,201604_135_001_A4_G,Offspring,4.33
201701,B2_017,201604_135_001_B3_G,Offspring,1.00E-05
201701,B2_017,201604_135_001_C6_G,Offspring,3.8
201701,B2_017,201604_135_001_F2_G,Offspring,7.21
201701,B2_017,201604_135_001_F7_G,Offspring,6.23
201701,B2_017,201604_135_001_G2_G,Offspring,5.12
201701,B2_018,201604_135_001_F5_G,Offspring,1.00E-05
201701,B2_019,201604_135_001_D9_G,Offspring,3.48
201701,B2_019,201604_135_001_G6_G,Offspring,1.00E-05
201701,B2_020,201604_135_001_B9_G,Offspring,3.26
201701,B2_021,201604_135_001_A12_G,Offspring,4.09
201701,B2_014,201604_136_001_A2_G,Offspring,1.00E-05
201701,B2_014,201604_136_001_B11_G,Offspring,4.18
