Cohort,AnimalID,Class,GAV,Code,Type,FamilyID,IntFamID
G1T1701,G1T1701_BR_031_P,Mother,3.82,BR,BR,G1T1701_BR_064_P__G1T1701_BR_031_P,86
G1T1701,G1T1701_BR_017_P,Mother,0,BR,BR,G1T1701_BR_068_P__G1T1701_BR_017_P,87
G1T1701,G1T1701_BR_022_P,Mother,NA,BR,BR,G1T1701_BR_090_M__G1T1701_BR_022_P,88
G1T1701,G1T1701_BR_450_MP,Mother,NA,BR,BR,G1T1701_BR_401_MP__G1T1701_BR_450_MP,89
201604,135_001_F3_G,Offspring,2.75,135,pond,B2_014,1
201604,135_001_C10_G,Offspring,2.84,135,pond,B2_014,1
201604,136_001_G2_G,Offspring,3,136,pond,B2_014,1
201604,136_001_C10_G,Offspring,3.1,136,pond,B2_014,1
201604,136_001_F11_G,Offspring,3.39,136,pond,B2_014,1
201604,135_001_A2_G,Offspring,3.47,135,pond,B2_014,1
201604,135_001_B11_G,Offspring,3.48,135,pond,B2_014,1
201604,136_001_D10_G,Offspring,3.58,136,pond,B2_014,1
201604,135_001_A1_G,Offspring,3.66,135,pond,B2_014,1
201604,136_001_B11_G,Offspring,4.18,136,pond,B2_014,1
201604,136_001_E9_G,Offspring,4.19,136,pond,B2_014,1
201604,135_001_G7_G,Offspring,4.85,135,pond,B2_014,1
201604,135_001_E6_G,Offspring,5.87,135,pond,B2_014,1
201604,136_001_G9_G,Offspring,6.98,136,pond,B2_014,1
201604,135_001_B10_G,Offspring,ND,135,pond,B2_014,1
201604,135_001_B5_G,Offspring,ND,135,pond,B2_014,1
201604,135_001_C4_G,Offspring,ND,135,pond,B2_014,1
201604,135_001_E4_G,Offspring,ND,135,pond,B2_014,1
201604,135_001_E9_G,Offspring,ND,135,pond,B2_014,1
201604,135_001_G9_G,Offspring,ND,135,pond,B2_014,1
201604,136_001_A2_G,Offspring,ND,136,pond,B2_014,1
201604,136_001_E3_G,Offspring,ND,136,pond,B2_014,1
201604,136_001_G1_G,Offspring,ND,136,pond,B2_014,1
201604,136_001_G4_G,Offspring,ND,136,pond,B2_014,1
201604,136_001_G7_G,Offspring,ND,136,pond,B2_014,1
201604,136_001_H2_G,Offspring,ND,136,pond,B2_014,1
201604,243_01_C7G,Offspring,3.41,243,pond,B1_033,2
201604,244_01_E9G,Offspring,3.5,244,pond,B1_033,2
201604,243_01_F9G,Offspring,3.53,243,pond,B1_033,2
201604,243_01_F10G,Offspring,3.8,243,pond,B1_033,2
201604,243_01_B4G,Offspring,3.81,243,pond,B1_033,2
201604,243_01_G6G,Offspring,4.05,243,pond,B1_033,2
201604,243_01_B11G,Offspring,4.39,243,pond,B1_033,2
201604,243_01_E11G,Offspring,4.53,243,pond,B1_033,2
201604,243_01_A11G,Offspring,4.67,243,pond,B1_033,2
201604,243_01_A5G,Offspring,ND,243,pond,B1_033,2
201604,243_01_C8G,Offspring,ND,243,pond,B1_033,2
201604,243_01_F7G,Offspring,ND,243,pond,B1_033,2
201604,244_01_D12G,Offspring,ND,244,pond,B1_033,2
201604,244_01_G8G,Offspring,ND,244,pond,B1_033,2
201602,142_001_A8_G,Offspring,NA,142,pond,B3_012,3
201602,142_001_D1_G,Offspring,NA,142,pond,B3_012,3
201602,142_001_D5_G,Offspring,NA,142,pond,B3_012,3
201602,141_001_D9_G,Offspring,ND,141,pond,B3_012,3
201602,141_001_F3_G,Offspring,ND,141,pond,B3_012,3
201604,135_001_C9_G,Offspring,2.98,135,pond,B2_010,4
201604,135_001_H9_G,Offspring,3.14,135,pond,B2_010,4
201604,135_001_B7_G,Offspring,3.38,135,pond,B2_010,4
201604,135_001_E5_G,Offspring,3.38,135,pond,B2_010,4
201604,136_001_H4_G,Offspring,3.65,136,pond,B2_010,4
201604,136_001_C7_G,Offspring,3.74,136,pond,B2_010,4
201604,135_001_E7_G,Offspring,3.82,135,pond,B2_010,4
201604,136_001_A8_G,Offspring,3.93,136,pond,B2_010,4
201604,135_001_G4_G,Offspring,4.05,135,pond,B2_010,4
201604,136_001_B1_G,Offspring,4.25,136,pond,B2_010,4
201604,135_001_H1_G,Offspring,4.6,135,pond,B2_010,4
201604,135_001_A3_G,Offspring,4.61,135,pond,B2_010,4
201604,136_001_F5_G,Offspring,5,136,pond,B2_010,4
201604,135_001_C1_G,Offspring,5.23,135,pond,B2_010,4
201604,136_001_B7_G,Offspring,5.74,136,pond,B2_010,4
201604,135_001_D8_G,Offspring,6.38,135,pond,B2_010,4
201604,136_001_G10_G,Offspring,8.03,136,pond,B2_010,4
201604,135_001_D7_G,Offspring,ND,135,pond,B2_010,4
201604,135_001_F1_G,Offspring,ND,135,pond,B2_010,4
201604,135_001_G5_G,Offspring,ND,135,pond,B2_010,4
201604,136_001_D2_G,Offspring,ND,136,pond,B2_010,4
201604,135_001_F9_G,Offspring,2.74,135,pond,B2_007,5
201604,135_001_A8_G,Offspring,2.78,135,pond,B2_007,5
201604,136_001_G6_G,Offspring,3.11,136,pond,B2_007,5
201604,136_001_B2_G,Offspring,3.15,136,pond,B2_007,5
201604,136_001_F7_G,Offspring,3.19,136,pond,B2_007,5
201604,135_001_E10_G,Offspring,3.21,135,pond,B2_007,5
201604,136_001_F3_G,Offspring,3.25,136,pond,B2_007,5
201604,136_001_G5_G,Offspring,3.39,136,pond,B2_007,5
201604,135_001_H10_G,Offspring,3.49,135,pond,B2_007,5
201604,135_001_H11_G,Offspring,3.57,135,pond,B2_007,5
201604,135_001_E3_G,Offspring,3.58,135,pond,B2_007,5
201604,135_001_G1_G,Offspring,3.59,135,pond,B2_007,5
201604,135_001_D1_G,Offspring,4.72,135,pond,B2_007,5
201604,135_001_E2_G,Offspring,5.06,135,pond,B2_007,5
201604,136_001_A6_G,Offspring,5.95,136,pond,B2_007,5
201604,136_001_B9_G,Offspring,6.4,136,pond,B2_007,5
