Cohort,PrawnID,GAV,Age,Class,FamID,IntFamID,GAVoffspringcount,,,IntFamID,GAVoffspringcount
201604,243_040P,NA,pond,Offspring,B1_023,21,8,,,,
201604,243_060P,NA,pond,Offspring,B1_023,21,8,,,,
201604,244_01_E12G,0,pond,Offspring,B1_023,21,8,,,,
201602,201604BR326,4.07,broodstock,father,B2_014,22,26,,,,
201602,201604_135_001_B11_G,3.48,pond,Offspring,B2_014,22,26,,,,
201602,201604_136_001_D10_G,3.58,pond,Offspring,B2_014,22,26,,,,
201602,201604_135_001_A1_G,3.66,pond,Offspring,B2_014,22,26,,,,
201602,201604_135_001_E6_G,5.87,pond,Offspring,B2_014,22,26,,,,
201602,201604_136_001_G9_G,6.98,pond,Offspring,B2_014,22,26,,,,
201602,201604_135_001_B10_G,0,pond,Offspring,B2_014,22,26,,,,
201604,201604BR520,4.15,broodstock,mother,B2_014,22,26,,,,
201604,201604_135_001_F3_G,2.75,pond,Offspring,B2_014,22,26,,,,
