Cohort,OffspringID,Offspringlggav,Code,Type,FatherID,Fatherlggav,MotherID,Motherlggav,FamilyID,gavscreenlist,FamilyID,Offspring count,Pond count,Larval count
201602,141_001_B10_G,ND,141,pond,201602BR113,NA,201602BR026,0,B3_001,n,,,,
201602,141_001_B12_G,3.15,141,pond,201602BR105,1.39,201602BR040,1.46,B3_007,n,,,,
201602,141_001_B2_G,ND,141,pond,201602BR104,0,201602BR069,2.2,B3_015,n,,,,
201602,141_001_B3_G,ND,141,pond,201602BR121,NA,201602BR063,2.29,B3_013,n,,,,
201602,141_001_B4_G,ND,141,pond,201602BR110,0,201602BR054,2.22,B3_009,n,,,,
201602,141_001_B5_G,ND,141,pond,201602BR096,1.7,201602BR075,2.43,B3_016,n,,,,
201602,141_001_C1_G,ND,141,pond,201602BR087,1.82,201602BR056,0,B3_011,n,,,,
201602,141_001_C10_G,ND,141,pond,201602BR113,NA,201602BR026,0,B3_001,n,,,,
201602,141_001_C12_G,3.15,141,pond,201602BR087,1.82,201602BR056,0,B3_011,n,,,,
201602,141_001_C2_G,3.09,141,pond,201602BR096,1.7,201602BR075,2.43,B3_016,n,,,,
201602,141_001_C4_G,ND,141,pond,201602BR118,NA,201602BR123,0,B3_020,n,,,,
201602,141_001_C5_G,ND,141,pond,201602BR121,NA,201602BR063,2.29,B3_013,n,,,,
201602,141_001_C6_G,ND,141,pond,201602BR118,NA,201602BR123,0,B3_020,n,,,,
201602,141_001_C7_G,ND,141,pond,201602BR125,NA,201602BR036,2.76,B3_005,n,,,,
201602,141_001_C9_G,ND,141,pond,201602BR096,1.7,201602BR075,2.43,B3_016,n,,,,
201602,141_001_D1_G,ND,141,pond,201602BR118,NA,201602BR123,0,B3_020,n,,,,
201602,141_001_D10_G,ND,141,pond,201602BR020,NA,201602BR085,1.31,B3_019,n,,,,
201602,141_001_D11_G,3.09,141,pond,201602BR121,NA,201602BR063,2.29,B3_013,n,,,,
201602,141_001_D12_G,ND,141,pond,201602BR125,NA,201602BR036,2.76,B3_005,n,,,,
201602,141_001_D2_G,ND,141,pond,201602BR126,NA,201602BR031,0,B3_023,n,,,,
201602,141_001_D3_G,ND,141,pond,201602BR113,NA,201602BR026,0,B3_001,n,,,,
201602,141_001_D8_G,ND,141,pond,201602BR118,NA,201602BR123,0,B3_020,n,,,,
201602,141_001_D9_G,ND,141,pond,201602BR088,2.31,201602BR060,1.51,B3_012,n,,,,
201602,141_001_E10_G,ND,141,pond,201602BR093,1.73,201602BR036,2.76,B3_004,n,,,,
201602,141_001_E11_G,3.1,141,pond,201602BR118,NA,201602BR123,0,B3_020,n,,,,
201602,141_001_E12_G,ND,141,pond,201602BR110,0,201602BR054,2.22,B3_009,n,,,,
201602,141_001_E2_G,3.16,141,pond,201602BR118,NA,201602BR123,0,B3_020,n,,,,
201602,141_001_E3_G,ND,141,pond,201602BR104,0,201602BR069,2.2,B3_015,n,,,,
201602,141_001_E5_G,ND,141,pond,201602BR125,NA,201602BR036,2.76,B3_005,n,,,,
201602,141_001_E6_G,ND,141,pond,201602BR087,1.82,201602BR056,0,B3_011,n,,,,
201602,141_001_E9_G,ND,141,pond,201602BR118,NA,201602BR123,0,B3_020,n,,,,
201602,141_001_F1_G,ND,141,pond,201602BR105,1.39,201602BR066,3.32,B3_014,n,,,,
201602,141_001_F11_G,3.08,141,pond,201602BR087,1.82,201602BR056,0,B3_011,n,,,,
201602,141_001_F3_G,ND,141,pond,201602BR088,2.31,201602BR060,1.51,B3_012,n,,,,
201602,141_001_F7_G,ND,141,pond,201602BR096,1.7,201602BR075,2.43,B3_016,n,,,,
201602,141_001_F8_G,ND,141,pond,201602BR127,0,201602BR018,NA,B3_029,n,,,,
201602,141_001_G10_G,ND,141,pond,201602BR087,1.82,201602BR056,0,B3_011,n,,,,
201602,141_001_G11_G,3.14,141,pond,201602BR121,NA,201602BR063,2.29,B3_013,n,,,,
201602,141_001_G3_G,3.16,141,pond,201602BR110,0,201602BR054,2.22,B3_009,n,,,,
201602,141_001_G5_G,ND,141,pond,201602BR126,NA,201602BR031,0,B3_023,n,,,,
201602,141_001_G6_G,3.17,141,pond,201602BR113,NA,201602BR026,0,B3_001,n,,,,
201602,141_001_G9_G,ND,141,pond,201602BR118,NA,201602BR123,0,B3_020,n,,,,
201602,141_001_H10_G,ND,141,pond,201602BR118,NA,201602BR123,0,B3_020,n,,,,
201602,141_001_H11_G,ND,141,pond,201602BR105,1.39,201602BR040,1.46,B3_007,n,,,,
201602,141_001_H5_G,3.14,141,pond,201602BR105,1.39,201602BR066,3.32,B3_014,n,,,,
201602,141_001_H6_G,3.14,141,pond,201602BR113,NA,201602BR026,0,B3_001,n,,,,
201602,141_001_H7_G,2.99,141,pond,201602BR118,NA,201602BR123,0,B3_020,n,,,,
201602,141_001_H8_G,ND,141,pond,201602BR105,1.39,201602BR040,1.46,B3_007,n,,,,
201602,142_001_A1_G,NA,142,pond,201602BR113,NA,201602BR026,0,B3_001,n,,,,
201602,142_001_A10_G,NA,142,pond,201602BR121,NA,201602BR063,2.29,B3_013,n,,,,
201602,142_001_A2_G,NA,142,pond,201602BR113,NA,201602BR026,0,B3_001,n,,,,
201602,142_001_A3_G,NA,142,pond,201602BR118,NA,201602BR123,0,B3_020,n,,,,
201602,142_001_A4_G,NA,142,pond,201602BR113,NA,201602BR026,0,B3_001,n,,,,
201602,142_001_A7_G,NA,142,pond,201602BR113,NA,201602BR026,0,B3_001,n,,,,
201602,142_001_A8_G,NA,142,pond,201602BR088,2.31,201602BR060,1.51,B3_012,n,,,,
201602,142_001_B1_G,NA,142,pond,201602BR125,NA,201602BR036,2.76,B3_005,n,,,,
201602,142_001_B10_G,NA,142,pond,201602BR087,1.82,201602BR056,0,B3_011,n,,,,
201602,142_001_B12_G,NA,142,pond,201602BR087,1.82,201602BR056,0,B3_011,n,,,,
201602,142_001_B2_G,NA,142,pond,201602BR110,0,201602BR054,2.22,B3_009,n,,,,
201602,142_001_B3_G,NA,142,pond,201602BR104,0,201602BR069,2.2,B3_015,n,,,,
201602,142_001_B5_G,NA,142,pond,201602BR110,0,201602BR054,2.22,B3_009,n,,,,
201602,142_001_B6_G,NA,142,pond,201602BR096,1.7,201602BR075,2.43,B3_016,n,,,,
201602,142_001_B7_G,NA,142,pond,201602BR125,NA,201602BR036,2.76,B3_005,n,,,,
201602,142_001_C1_G,NA,142,pond,201602BR125,NA,201602BR036,2.76,B3_005,n,,,,
201602,142_001_C10_G,NA,142,pond,201602BR087,1.82,201602BR056,0,B3_011,n,,,,
201602,142_001_C12_G,NA,142,pond,201602BR110,0,201602BR054,2.22,B3_009,n,,,,
201602,142_001_C2_G,NA,142,pond,201602BR125,NA,201602BR036,2.76,B3_005,n,,,,
201602,142_001_C3_G,NA,142,pond,201602BR102,3.57,201602BR075,2.43,B3_017,n,,,,
201602,142_001_C4_G,NA,142,pond,201602BR105,1.39,201602BR040,1.46,B3_007,n,,,,
201602,142_001_C5_G,NA,142,pond,201602BR020,NA,201602BR085,1.31,B3_019,n,,,,
201602,142_001_C8_G,NA,142,pond,201602BR121,NA,201602BR063,2.29,B3_013,n,,,,
201602,142_001_D1_G,NA,142,pond,201602BR088,2.31,201602BR060,1.51,B3_012,n,,,,
201602,142_001_D10_G,NA,142,pond,201602BR087,1.82,201602BR056,0,B3_011,n,,,,
201602,142_001_D12_G,NA,142,pond,201602BR087,1.82,201602BR056,0,B3_011,n,,,,
201602,142_001_D2_G,NA,142,pond,201602BR118,NA,201602BR123,0,B3_020,n,,,,
201602,142_001_D4_G,NA,142,pond,201602BR087,1.82,201602BR056,0,B3_011,n,,,,
201602,142_001_D5_G,NA,142,pond,201602BR088,2.31,201602BR060,1.51,B3_012,n,,,,
