Cohort,OffspringID,Plate no.,Well location,Code,Type,FatherID,Fatherlggav,MotherID,Motherlggav,FamilyID
201604,RA4_131,2,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_149,2,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_172,2,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_173,2,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_183,2,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_208,3,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_246,3,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_247,3,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_286,4,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_314,4,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_390,5,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_396,5,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_401,5,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_408,5,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_421,5,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_428,5,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_437,5,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_459,5,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_004,1,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_008,1,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_013,1,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_020,1,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_021,1,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_031,1,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_039,1,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_047,1,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_061,1,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_067,1,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_087,1,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_104,2,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_108,2,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_124,2,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_132,2,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_149,2,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_154,2,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_155,2,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_178,2,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_180,2,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_184,2,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_202,3,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_204,3,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA5_206,3,,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014
