Cohort,Code,Age,Class,PrawnID,GAV,FamID,IntFamID
201602,141,larval,Offspring,RC9_222_PL,7.26,B1_006,9
201602,141,pond,Offspring,243_029P,NA,B1_006,9
201604,136,pond,Offspring,243_046P,NA,B1_006,9
201602,141,pond,Offspring,243_065P,NA,B1_006,9
201602,141,pond,Offspring,243_076P,NA,B1_006,9
201604,136,pond,Offspring,243_078P,NA,B1_006,9
201602,parent,broodstock,mother,201604BR020,3.51,B1_005,10
201604,135,larval,Offspring,RC9_272_PL,4.1,B1_005,10
201604,135,larval,Offspring,RC9_194_PL,5.15,B1_005,10
201604,135,larval,Offspring,RC9_207_PL,6.7,B1_005,10
201604,135,larval,Offspring,RC9_189_PL,7.1,B1_005,10
201602,parent,larval,Offspring,RC9_245_PL,7.14,B1_005,10
201604,135,larval,Offspring,RC9_273_PL,7.21,B1_005,10
201602,141,larval,Offspring,RC9_281_PL,7.52,B1_005,10
201604,136,larval,Offspring,RC9_195_PL,7.59,B1_005,10
201604,parent,broodstock,father,201604BR271,NA,B1_005,10
