PrawnID,GAV,Class,Family ID,,,Family,,Offspring count
G1T1701_149_001_G7_G,0.00,Offspring,G1T1701_BR_139_MP__G1T1701_BR_042_P,,,,,
G1T1701_149_001_H1_G,0.00,Offspring,G1T1701_BR_139_MP__G1T1701_BR_042_P,,,,,
G1T1701_149_001_H11_G,0.00,Offspring,G1T1701_BR_166_MP__G1T1701_BR_263_MP,,,,,
G1T1701_149_001_H5_G,0.00,Offspring,G1T1701_BR_123_MP__G1T1701_BR_251_MP,,,,,
G1T1701_149_001_H6_G,0.00,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,,,,,
G1T1701_149_001_H8_G,0.00,Offspring,G1T1701_BR_049_GP__G1T1701_BR_003_P,,,,,
G1T1701_149_002_A2_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_002_A5_G,0.00,Offspring,G1T1701_BR_053_GP__G1T1701_BR_006_P,,,,,
G1T1701_149_002_A8_G,0.00,Offspring,G1T1701_BR_048_P__G1T1701_BR_002_P,,,,,
G1T1701_149_002_B11_G,0.00,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,,,,,
G1T1701_149_002_B2_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_002_B4_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_002_C1_G,0.00,Offspring,G1T1701_BR_113_MP__G1T1701_BR_262_MP,,,,,
G1T1701_149_002_C2_G,0.00,Offspring,G1T1701_BR_166_MP__G1T1701_BR_263_MP,,,,,
G1T1701_149_002_C5_G,0.00,Offspring,G1T1701_BR_067_GP__G1T1701_BR_037_P,,,,,
G1T1701_149_002_C8_G,0.00,Offspring,G1T1701_BR_113_MP__G1T1701_BR_262_MP,,,,,
G1T1701_149_002_D9_G,0.00,Offspring,G1T1701_BR_113_MP__G1T1701_BR_262_MP,,,,,
G1T1701_149_002_E11_G,0.00,Offspring,G1T1701_BR_053_GP__G1T1701_BR_006_P,,,,,
G1T1701_149_002_E12_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_002_E4_G,0.00,Offspring,G1T1701_BR_064_P__G1T1701_BR_033_P,,,,,
G1T1701_149_002_E9_G,0.00,Offspring,G1T1701_BR_049_GP__G1T1701_BR_003_P,,,,,
G1T1701_149_002_F10_G,0.00,Offspring,G1T1701_BR_360_MP__G1T1701_BR_318_MP,,,,,
G1T1701_149_002_F11_G,0.00,Offspring,G1T1701_BR_053_GP__G1T1701_BR_005_P,,,,,
