 ID,GAV,Family ID,Class
G1T1701_149_005_A3_G,59.33,12,Offspring
G1T1701_149_005_F5_G,NA,12,Offspring
G1T1701_149_005_G8_G,67.62,12,Offspring
G1T1701_149_005_G9_G,84.85,12,Offspring
G1T1701_149_001_C11_G,85.65,13,Offspring
G1T1701_149_001_G10_G,105.2,13,Offspring
G1T1701_149_001_G9_G,15029.28,13,Offspring
G1T1701_149_002_A3_G,337948.16,13,Offspring
G1T1701_149_002_E5_G,1300.45,13,Offspring
G1T1701_149_002_H11_G,257.85,13,Offspring
G1T1701_149_003_B5_G,3395.97,13,Offspring
G1T1701_149_003_E6_G,60.12,13,Offspring
G1T1701_149_003_F12_G,847.24,13,Offspring
G1T1701_149_004_A7_G,NA,13,Offspring
G1T1701_149_005_F2_G,206.03,13,Offspring
G1T1701_149_001_C1_G,7575.16,14,Offspring
G1T1701_149_001_E3_G,NA,14,Offspring
G1T1701_149_002_F11_G,NA,14,Offspring
G1T1701_149_003_A12_G,NA,14,Offspring
G1T1701_149_003_A5_G,NA,14,Offspring
G1T1701_149_004_G2_G,NA,14,Offspring
G1T1701_149_004_G8_G,NA,14,Offspring
G1T1701_149_005_C1_G,32.66,14,Offspring
G1T1701_149_005_C3_G,36.87,14,Offspring
G1T1701_149_005_E9_G,91750,14,Offspring
